INSERT INTO operationrechargement (dateheuredebut,dateheurefin,idcontrole,idborne,nbkwheures) VALUES
('2018-01-12 15:00:00','2018-01-12 17:02:00',null,1,6),
('2018-05-25 01:00:00','2018-05-25 01:00:00',2,1,0),
('2020-05-11 20:00:00','2020-05-11 20:31:00',null,1,0),
('2019-08-12 11:00:00','2019-08-12 11:00:00',2,1,0),
('2021-05-19 01:00:00','2021-05-19 02:36:00',null,1,3),
('2020-06-11 20:00:00','2020-06-11 20:00:00',3,1,0),
('2018-01-10 08:00:00','2018-01-10 10:38:00',null,5,6),
('2022-06-01 04:00:00','2022-06-01 06:15:00',null,5,6),
('2021-02-26 12:00:00','2021-02-26 12:00:00',1,5,0),
('2019-01-20 13:00:00','2019-01-20 13:00:00',3,5,0),
('2019-06-19 23:00:00','2019-06-19 23:00:00',1,5,0),
('2018-09-21 13:00:00','2018-09-21 13:00:00',3,5,0),
('2022-08-04 17:00:00','2022-08-04 17:00:00',2,9,0),
('2021-07-20 04:00:00','2021-07-20 04:35:00',null,9,0),
('2020-11-26 08:00:00','2020-11-26 08:00:00',1,9,0),
('2020-02-24 02:00:00','2020-02-24 02:00:00',1,9,0),
('2021-12-19 03:00:00','2021-12-19 05:17:00',null,9,6),
('2020-07-19 11:00:00','2020-07-19 12:16:00',null,10,3),
('2021-06-14 08:00:00','2021-06-14 09:33:00',null,10,3),
('2022-12-18 21:00:00','2022-12-18 23:02:00',null,10,6),
('2018-09-01 21:00:00','2018-09-01 21:00:00',1,10,0),
('2022-02-22 23:00:00','2022-02-22 23:00:00',3,10,0),
('2022-12-15 11:00:00','2022-12-15 11:00:00',1,10,0),
('2020-02-09 22:00:00','2020-02-09 23:36:00',null,10,3),
('2018-08-15 19:00:00','2018-08-15 20:48:00',null,17,3),
('2019-05-14 14:00:00','2019-05-14 14:00:00',3,17,0),
('2018-06-18 21:00:00','2018-06-18 22:09:00',null,17,3),
('2018-02-25 11:00:00','2018-02-25 12:51:00',null,17,3),
('2021-01-09 05:00:00','2021-01-09 05:00:00',1,17,0),
('2019-11-13 03:00:00','2019-11-13 04:09:00',null,17,3),
('2022-08-07 08:00:00','2022-08-07 08:00:00',2,18,0),
('2022-05-25 15:00:00','2022-05-25 15:00:00',2,18,0),
('2018-10-06 16:00:00','2018-10-06 17:56:00',null,18,3),
('2022-03-23 19:00:00','2022-03-23 20:20:00',null,18,3),
('2020-02-22 02:00:00','2020-02-22 02:00:00',2,18,0),
('2019-05-04 06:00:00','2019-05-04 06:00:00',1,18,0),
('2019-07-13 16:00:00','2019-07-13 16:00:00',2,22,0),
('2019-06-20 07:00:00','2019-06-20 08:26:00',null,22,3),
('2022-07-21 01:00:00','2022-07-21 02:14:00',null,22,3),
('2021-03-26 18:00:00','2021-03-26 18:00:00',1,22,0),
('2021-02-21 19:00:00','2021-02-21 19:00:00',1,22,0),
('2021-11-14 17:00:00','2021-11-14 19:44:00',null,22,6),
('2018-08-01 01:00:00','2018-08-01 02:22:00',null,22,3),
('2022-05-24 14:00:00','2022-05-24 16:59:00',null,24,6),
('2019-01-06 12:00:00','2019-01-06 12:59:00',null,24,0),
('2019-04-18 08:00:00','2019-04-18 08:00:00',3,24,0),
('2019-01-08 16:00:00','2019-01-08 18:23:00',null,24,6),
('2022-05-12 07:00:00','2022-05-12 07:00:00',1,25,0),
('2020-06-25 05:00:00','2020-06-25 05:00:00',3,25,0),
('2018-01-17 06:00:00','2018-01-17 06:00:00',2,25,0),
('2019-04-24 10:00:00','2019-04-24 10:00:00',2,25,0),
('2020-06-13 09:00:00','2020-06-13 09:00:00',2,25,0),
('2022-08-04 03:00:00','2022-08-04 04:56:00',null,26,3),
('2021-04-02 07:00:00','2021-04-02 07:00:00',3,26,0),
('2022-05-19 19:00:00','2022-05-19 19:00:00',2,26,0),
('2021-10-19 21:00:00','2021-10-19 22:20:00',null,26,3),
('2018-12-11 11:00:00','2018-12-11 11:00:00',3,26,0),
('2019-09-18 16:00:00','2019-09-18 17:02:00',null,30,3),
('2018-08-16 04:00:00','2018-08-16 04:00:00',3,30,0),
('2019-03-04 17:00:00','2019-03-04 17:00:00',1,30,0),
('2020-03-24 04:00:00','2020-03-24 04:00:00',1,30,0),
('2020-09-23 18:00:00','2020-09-23 18:00:00',1,30,0),
('2021-02-20 08:00:00','2021-02-20 08:00:00',2,30,0),
('2021-09-14 10:00:00','2021-09-14 10:00:00',3,30,0),
('2020-10-04 12:00:00','2020-10-04 13:41:00',null,33,3),
('2020-09-06 08:00:00','2020-09-06 08:00:00',3,33,0),
('2020-07-23 18:00:00','2020-07-23 18:00:00',2,33,0),
('2019-08-01 19:00:00','2019-08-01 19:00:00',3,33,0),
('2018-11-03 14:00:00','2018-11-03 14:33:00',null,33,0),
('2018-10-25 22:00:00','2018-10-25 22:00:00',1,33,0),
('2022-11-03 23:00:00','2022-11-04 01:48:00',null,34,6),
('2019-04-27 16:00:00','2019-04-27 16:00:00',1,34,0),
('2019-09-21 03:00:00','2019-09-21 04:53:00',null,34,3),
('2020-05-19 16:00:00','2020-05-19 18:43:00',null,34,6),
('2018-04-04 01:00:00','2018-04-04 03:08:00',null,34,6),
('2021-10-25 17:00:00','2021-10-25 17:00:00',1,36,0),
('2021-12-27 01:00:00','2021-12-27 01:00:00',3,36,0),
('2022-05-20 10:00:00','2022-05-20 12:06:00',null,36,6),
('2019-02-17 17:00:00','2019-02-17 17:00:00',1,36,0),
('2019-05-24 03:00:00','2019-05-24 03:00:00',1,41,0),
('2021-05-08 02:00:00','2021-05-08 02:00:00',2,41,0),
('2021-11-06 19:00:00','2021-11-06 19:00:00',3,41,0),
('2021-06-24 18:00:00','2021-06-24 18:00:00',1,41,0),
('2022-03-20 06:00:00','2022-03-20 08:11:00',null,41,6),
('2022-12-08 09:00:00','2022-12-08 09:00:00',1,43,0),
('2019-02-22 07:00:00','2019-02-22 09:26:00',null,43,6),
('2021-08-09 09:00:00','2021-08-09 09:00:00',3,43,0),
